,precision,recall,f1-score,support
AtlanticSpottedDolphin,0.9428571428571428,0.8918918918918919,0.9166666666666666,37.0
BeardedSeal,0.1935483870967742,0.5454545454545454,0.2857142857142857,22.0
Beluga_WhiteWhale,0.275,0.4782608695652174,0.3492063492063492,23.0
BottlenoseDolphin,0.6111111111111112,0.7586206896551724,0.676923076923077,29.0
Boutu_AmazonRiverDolphin,0.17391304347826086,1.0,0.2962962962962963,4.0
BowheadWhale,0.5068493150684932,0.6065573770491803,0.5522388059701493,61.0
ClymeneDolphin,0.7317073170731707,0.6122448979591837,0.6666666666666666,49.0
CommonDolphin,0.8524590163934426,0.7819548872180451,0.8156862745098039,133.0
Dall_sPorpoise,0.4666666666666667,0.875,0.6086956521739131,8.0
DuskyDolphin,0.6666666666666666,1.0,0.8,4.0
FalseKillerWhale,0.9358974358974359,0.9605263157894737,0.948051948051948,76.0
Fin_FinbackWhale,0.9666666666666667,0.9886363636363636,0.9775280898876404,88.0
Fraser_sDolphin,0.6176470588235294,0.7,0.65625,30.0
Grampus_Risso_sDolphin,0.6176470588235294,0.7777777777777778,0.6885245901639344,54.0
GrayWhale,1.0,0.4,0.5714285714285714,5.0
HarborPorpoise,0.6666666666666666,0.2857142857142857,0.4,7.0
HarpSeal,0.25,0.5714285714285714,0.34782608695652173,7.0
Heaviside_sDolphin,1.0,0.5,0.6666666666666666,2.0
HumpbackWhale,0.8928571428571429,0.5494505494505495,0.6802721088435374,91.0
KillerWhale,0.9713541666666666,0.9395465994962217,0.9551856594110115,397.0
LeopardSeal,0.3333333333333333,0.2857142857142857,0.3076923076923077,7.0
LongBeaked(Pacific)CommonDolphin,0.3888888888888889,0.7,0.5,10.0
Long_FinnedPilotWhale,0.7919463087248322,0.6483516483516484,0.7129909365558912,182.0
MelonHeadedWhale,0.4666666666666667,0.875,0.6086956521739131,24.0
MinkeWhale,0.25,1.0,0.4,3.0
Narwhal,0.42857142857142855,0.9230769230769231,0.5853658536585366,13.0
NorthernRightWhale,0.825,0.4520547945205479,0.584070796460177,73.0
PantropicalSpottedDolphin,0.7159763313609467,0.7806451612903226,0.7469135802469136,155.0
RibbonSeal,0.2777777777777778,0.7142857142857143,0.4,7.0
RingedSeal,0.75,0.42857142857142855,0.5454545454545454,7.0
RossSeal,0.5789473684210527,0.4782608695652174,0.5238095238095238,23.0
Rough_ToothedDolphin,0.34210526315789475,0.9285714285714286,0.5,14.0
Short_Finned(Pacific)PilotWhale,0.6020408163265306,0.6344086021505376,0.6178010471204188,93.0
SouthernRightWhale,0.4375,1.0,0.6086956521739131,7.0
SpermWhale,0.8478260869565217,0.4,0.5435540069686411,195.0
SpinnerDolphin,0.7792207792207793,0.759493670886076,0.7692307692307693,79.0
SpottedSeal,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0
StripedDolphin,0.6134453781512605,0.7156862745098039,0.6606334841628959,102.0
TucuxiDolphin,0.16666666666666666,0.5,0.25,2.0
Walrus,0.8709677419354839,0.6585365853658537,0.75,41.0
WeddellSeal,0.5666666666666667,0.85,0.68,20.0
WestIndianManatee,0.8181818181818182,0.8181818181818182,0.8181818181818182,11.0
White_beakedDolphin,0.7954545454545454,0.6481481481481481,0.7142857142857143,108.0
White_sidedDolphin,0.4,0.6666666666666666,0.5,6.0
accuracy,0.7244809688581315,0.7244809688581315,0.7244809688581315,0.7244809688581315
macro avg,0.6148492135441619,0.6989860524683992,0.6103152306904474,2312.0
weighted avg,0.7778457052976554,0.7244809688581315,0.7325724282805207,2312.0
